Ship Mode;Segment;Country;City;State;Postal Code;Region;Category;Sub-Category;Sales;Quantity;Discount;Profit
Standard Class;Consumer;United States;New Albany;Indiana;47150;Central;Furniture;Chairs;89.99;1;0;170.981
Standard Class;Corporate;United States;New York City;New York;10024;East;Office Supplies;Fasteners;15.26;7;0;62.566
Standard Class;Corporate;United States;New York City;New York;10024;East;Technology;Phones;1029.95;5;0;2.986.855
First Class;Consumer;United States;Troy;New York;12180;East;Office Supplies;Storage;208.56;6;0;52.14
First Class;Consumer;United States;Troy;New York;12180;East;Office Supplies;Paper;32.4;5;0;15.552
First Class;Consumer;United States;Troy;New York;12180;East;Furniture;Chairs;319.41;5;0.1;7.098
First Class;Consumer;United States;Troy;New York;12180;East;Office Supplies;Paper;14.56;2;0;69.888
First Class;Consumer;United States;Troy;New York;12180;East;Technology;Accessories;30;2;0;3.3
First Class;Consumer;United States;Troy;New York;12180;East;Office Supplies;Binders;48.48;4;0.2;16.362
First Class;Consumer;United States;Troy;New York;12180;East;Office Supplies;Art;1.68;1;0;0.84
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Technology;Accessories;13.98;2;0;61.512
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Binders;25.824;6;0.2;93.612
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Paper;146.73;3;0;689.631
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Furniture;Furnishings;79.76;4;0;223.328
Standard Class;Home Office;United States;Chicago;Illinois;60610;Central;Furniture;Chairs;213.115;5;0.3;-152.225
Standard Class;Corporate;United States;Gilbert;Arizona;85234;West;Office Supplies;Art;1.113.024;8;0.2;1.113.024
Standard Class;Corporate;United States;Gilbert;Arizona;85234;West;Technology;Phones;167.968;4;0.2;62.988
First Class;Consumer;United States;Springfield;Virginia;22153;South;Office Supplies;Paper;75.88;2;0;356.636
Standard Class;Consumer;United States;New York City;New York;10009;East;Office Supplies;Binders;4.616;1;0.2;1.731
Second Class;Consumer;United States;Jackson;Michigan;49201;Central;Office Supplies;Paper;19.05;3;0;8.763
Standard Class;Consumer;United States;Memphis;Tennessee;38109;South;Furniture;Chairs;831.936;8;0.2;-1.143.912
Standard Class;Consumer;United States;Memphis;Tennessee;38109;South;Furniture;Furnishings;97.04;2;0.2;1.213
Standard Class;Consumer;United States;Memphis;Tennessee;38109;South;Office Supplies;Storage;72.784;1;0.2;-18.196
First Class;Corporate;United States;Houston;Texas;77041;Central;Office Supplies;Binders;1.248;3;0.8;-19.344
First Class;Corporate;United States;Houston;Texas;77041;Central;Furniture;Furnishings;9.708;3;0.6;-58.248
First Class;Corporate;United States;Houston;Texas;77041;Central;Office Supplies;Storage;27.24;3;0.2;2.724
Second Class;Consumer;United States;Houston;Texas;77070;Central;Furniture;Furnishings;19.3;5;0.6;-14.475
First Class;Corporate;United States;Decatur;Alabama;35601;South;Office Supplies;Appliances;208.16;1;0;562.032
First Class;Corporate;United States;Decatur;Alabama;35601;South;Office Supplies;Binders;16.74;3;0;80.352
Standard Class;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Art;14.9;5;0;4.172
Standard Class;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Storage;21.39;1;0;62.031
Standard Class;Corporate;United States;Durham;North Carolina;27707;South;Office Supplies;Envelopes;200.984;7;0.2;628.075
First Class;Home Office;United States;Chicago;Illinois;60623;Central;Office Supplies;Storage;230.376;3;0.2;-489.549
Second Class;Consumer;United States;Columbia;South Carolina;29203;South;Furniture;Chairs;301.96;2;0;332.156
Standard Class;Consumer;United States;Rochester;Minnesota;55901;Central;Technology;Accessories;19.99;1;0;67.966
Standard Class;Consumer;United States;Rochester;Minnesota;55901;Central;Office Supplies;Labels;6.16;2;0;29.568
Second Class;Home Office;United States;Houston;Texas;77095;Central;Office Supplies;Storage;158.368;7;0.2;138.572
Standard Class;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Art;20.1;3;0;6.633
Standard Class;Corporate;United States;Los Angeles;California;90036;West;Technology;Phones;73.584;2;0.2;82.782
Standard Class;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Paper;6.48;1;0;31.104
Second Class;Consumer;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Paper;12.96;2;0;62.208
Second Class;Consumer;United States;Minneapolis;Minnesota;55407;Central;Furniture;Furnishings;53.34;3;0;165.354
Second Class;Consumer;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Binders;32.96;2;0;161.504
Standard Class;Home Office;United States;Portland;Oregon;97206;West;Office Supplies;Binders;5.682;1;0.7;-3.788
Second Class;Home Office;United States;New York City;New York;10009;East;Furniture;Furnishings;96.53;7;0;405.426
First Class;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Binders;51.312;3;0.2;179.592
Standard Class;Corporate;United States;Saint Paul;Minnesota;55106;Central;Office Supplies;Appliances;77.88;6;0;225.852
Standard Class;Home Office;United States;Chicago;Illinois;60610;Central;Office Supplies;Paper;64.624;7;0.2;226.184
Standard Class;Home Office;United States;Chicago;Illinois;60610;Central;Technology;Accessories;95.976;3;0.2;-107.973
Standard Class;Home Office;United States;Chicago;Illinois;60610;Central;Office Supplies;Binders;1.788;3;0.8;-30.396
Second Class;Consumer;United States;Rochester;Minnesota;55901;Central;Office Supplies;Paper;23.92;4;0;117.208
Standard Class;Consumer;United States;Aurora;Colorado;80013;West;Technology;Accessories;238.896;6;0.2;-268.758
Standard Class;Consumer;United States;Aurora;Colorado;80013;West;Furniture;Furnishings;102.36;3;0.2;-38.385
Standard Class;Consumer;United States;Aurora;Colorado;80013;West;Office Supplies;Binders;36.882;3;0.7;-258.174
Standard Class;Consumer;United States;Charlotte;North Carolina;28205;South;Technology;Accessories;74.112;8;0.2;176.016
Standard Class;Consumer;United States;Charlotte;North Carolina;28205;South;Technology;Phones;27.992;1;0.2;20.994
Standard Class;Consumer;United States;Charlotte;North Carolina;28205;South;Office Supplies;Art;3.304;1;0.2;10.738
Standard Class;Home Office;United States;Orland Park;Illinois;60462;Central;Technology;Accessories;339.96;5;0.2;67.992
Standard Class;Corporate;United States;New York City;New York;10035;East;Furniture;Furnishings;41.96;2;0;109.096
Standard Class;Consumer;United States;Urbandale;Iowa;50322;Central;Office Supplies;Art;75.96;2;0;22.788
Standard Class;Consumer;United States;Urbandale;Iowa;50322;Central;Office Supplies;Binders;27.24;6;0;133.476
Second Class;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Fasteners;40.096;14;0.2;145.348
Second Class;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Envelopes;4.72;2;0.2;1.652
Second Class;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Paper;23.976;3;0.2;74.925
Second Class;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Envelopes;130.464;6;0.2;440.316
Standard Class;Consumer;United States;Seattle;Washington;98103;West;Furniture;Tables;787.53;3;0;1.653.813
Standard Class;Corporate;United States;Bristol;Tennessee;37620;South;Office Supplies;Binders;157.794;1;0.7;-1.157.156
First Class;Consumer;United States;Wilmington;Delaware;19805;East;Furniture;Furnishings;47.04;3;0;183.456
First Class;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Binders;30.84;4;0;13.878
First Class;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Storage;226.56;6;0;634.368
First Class;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Envelopes;115.02;9;0;51.759
First Class;Consumer;United States;Wilmington;Delaware;19805;East;Technology;Phones;68.04;7;0;197.316
Second Class;Home Office;United States;Houston;Texas;77041;Central;Furniture;Chairs;600.558;3;0.3;-85.794
Standard Class;Consumer;United States;Bloomington;Illinois;61701;Central;Furniture;Tables;617.7;6;0.5;-407.682
Standard Class;Consumer;United States;Phoenix;Arizona;85023;West;Office Supplies;Binders;2.388;2;0.7;-18.308
Standard Class;Consumer;United States;Phoenix;Arizona;85023;West;Office Supplies;Storage;243.992;7;0.2;30.499
Second Class;Home Office;United States;Los Angeles;California;90004;West;Furniture;Chairs;81.424;2;0.2;-91.602
Second Class;Home Office;United States;Los Angeles;California;90004;West;Furniture;Furnishings;238.56;3;0;262.416
First Class;Corporate;United States;Columbus;Ohio;43229;East;Technology;Phones;59.97;5;0.4;-11.994
First Class;Corporate;United States;Columbus;Ohio;43229;East;Office Supplies;Paper;78.304;2;0.2;29.364
First Class;Corporate;United States;Columbus;Ohio;43229;East;Office Supplies;Fasteners;21.456;9;0.2;69.732
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Paper;20.04;3;0;96.192
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Paper;35.44;1;0;166.568
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Art;11.52;4;0;3.456
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Fasteners;4.02;2;0;19.698
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Binders;76.176;3;0.2;266.616
Standard Class;Consumer;United States;Roseville;California;95661;West;Office Supplies;Supplies;65.88;6;0;184.464
Standard Class;Consumer;United States;Roseville;California;95661;West;Furniture;Furnishings;43.12;14;0;206.976
Second Class;Corporate;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;82.8;2;0.2;10.35
Standard Class;Corporate;United States;San Francisco;California;94122;West;Office Supplies;Art;8.82;3;0;23.814
Standard Class;Corporate;United States;San Francisco;California;94122;West;Office Supplies;Envelopes;10.86;3;0;51.042
Standard Class;Corporate;United States;San Francisco;California;94122;West;Office Supplies;Paper;143.7;3;0;68.976
Standard Class;Consumer;United States;Independence;Missouri;64055;Central;Office Supplies;Appliances;839.43;3;0;2.182.518
Standard Class;Consumer;United States;Pasadena;California;91104;West;Office Supplies;Storage;671.93;7;0;201.579
Standard Class;Home Office;United States;Newark;Ohio;43055;East;Furniture;Furnishings;93.888;4;0.2;129.096
Standard Class;Corporate;United States;Franklin;Wisconsin;53132;Central;Technology;Phones;384.45;11;0;1.038.015
Standard Class;Corporate;United States;Franklin;Wisconsin;53132;Central;Technology;Phones;149.97;3;0;59.988
Standard Class;Corporate;United States;Franklin;Wisconsin;53132;Central;Furniture;Chairs;1951.84;8;0;585.552
Standard Class;Corporate;United States;Franklin;Wisconsin;53132;Central;Office Supplies;Binders;171.55;5;0;806.285
First Class;Home Office;United States;Scottsdale;Arizona;85254;West;Office Supplies;Appliances;157.92;5;0.2;17.766
First Class;Home Office;United States;Scottsdale;Arizona;85254;West;Technology;Phones;203.184;2;0.2;152.388
First Class;Corporate;United States;San Jose;California;95123;West;Office Supplies;Paper;58.38;7;0;26.271
First Class;Corporate;United States;San Jose;California;95123;West;Office Supplies;Paper;105.52;4;0;485.392
First Class;Corporate;United States;San Jose;California;95123;West;Office Supplies;Storage;80.88;6;0;210.288
Standard Class;Home Office;United States;Seattle;Washington;98105;West;Office Supplies;Art;6.63;3;0;17.901
Second Class;Consumer;United States;Seattle;Washington;98115;West;Furniture;Chairs;457.568;2;0.2;514.764
Standard Class;Consumer;United States;Edmond;Oklahoma;73034;Central;Office Supplies;Labels;14.62;2;0;68.714
Standard Class;Consumer;United States;Edmond;Oklahoma;73034;Central;Technology;Phones;944.93;7;0;2.362.325
First Class;Consumer;United States;Los Angeles;California;90045;West;Office Supplies;Paper;5.98;1;0;2.691
Second Class;Consumer;United States;Philadelphia;Pennsylvania;19134;East;Technology;Accessories;54.384;2;0.2;13.596
Standard Class;Consumer;United States;Carlsbad;New Mexico;88220;West;Office Supplies;Envelopes;28.4;5;0;13.348
Standard Class;Consumer;United States;Seattle;Washington;98115;West;Office Supplies;Binders;27.68;2;0.2;9.688
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Office Supplies;Art;9.936;3;0.2;27.324
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Technology;Machines;8.159.952;8;0.4;-1.359.992
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Office Supplies;Storage;275.928;3;0.2;-586.347
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Furniture;Chairs;1740.06;9;0.3;-24.858
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Office Supplies;Art;32.064;6;0.2;68.136
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Office Supplies;Appliances;177.98;5;0.8;-453.849
Standard Class;Consumer;United States;San Antonio;Texas;78207;Central;Technology;Phones;143.976;3;0.2;89.985
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Paper;20.94;3;0;98.418
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Paper;110.96;2;0;532.608
Standard Class;Consumer;United States;Los Angeles;California;90004;West;Furniture;Chairs;340.144;7;0.2;21.259
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Office Supplies;Appliances;52.448;2;0.8;-131.12
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Office Supplies;Labels;20.16;4;0.2;6.552
Second Class;Consumer;United States;Houston;Texas;77036;Central;Office Supplies;Appliances;97.264;4;0.8;-243.16
Second Class;Consumer;United States;Newark;Ohio;43055;East;Furniture;Chairs;396.802;7;0.3;-113.372
Second Class;Consumer;United States;Newark;Ohio;43055;East;Office Supplies;Supplies;15.88;5;0.2;-37.715
Standard Class;Home Office;United States;New York City;New York;10009;East;Office Supplies;Art;3.28;1;0;14.104
Second Class;Corporate;United States;Decatur;Illinois;62521;Central;Office Supplies;Storage;24.816;2;0.2;18.612
Second Class;Corporate;United States;Decatur;Illinois;62521;Central;Technology;Accessories;408.744;7;0.2;766.395
Second Class;Home Office;United States;Monroe;Louisiana;71203;South;Technology;Phones;503.96;4;0;1.310.296
Second Class;Home Office;United States;Monroe;Louisiana;71203;South;Technology;Phones;149.95;5;0;41.986
Second Class;Home Office;United States;Monroe;Louisiana;71203;South;Technology;Accessories;29;2;0;7.25
Standard Class;Consumer;United States;Fairfield;Connecticut;6824;East;Office Supplies;Binders;7.16;2;0;34.368
Standard Class;Home Office;United States;Los Angeles;California;90032;West;Technology;Accessories;176.8;8;0;22.984
Standard Class;Corporate;United States;Grand Prairie;Texas;75051;Central;Office Supplies;Storage;37.224;3;0.2;37.224
Standard Class;Corporate;United States;Grand Prairie;Texas;75051;Central;Office Supplies;Paper;20.016;3;0.2;6.255
First Class;Home Office;United States;New York City;New York;10035;East;Furniture;Bookcases;899.136;4;0.2;112.392
First Class;Home Office;United States;New York City;New York;10035;East;Technology;Phones;71.76;6;0;200.928
First Class;Home Office;United States;New York City;New York;10035;East;Office Supplies;Paper;51.84;8;0;248.832
First Class;Home Office;United States;New York City;New York;10035;East;Furniture;Bookcases;626.352;3;0.2;469.764
First Class;Home Office;United States;New York City;New York;10035;East;Office Supplies;Art;19.9;5;0;6.567
Standard Class;Corporate;United States;Redlands;California;92374;West;Office Supplies;Envelopes;14.28;7;0;67.116
Standard Class;Consumer;United States;Hamilton;Ohio;45011;East;Office Supplies;Art;7.408;2;0.2;12.038
Standard Class;Consumer;United States;Hamilton;Ohio;45011;East;Office Supplies;Art;6.048;3;0.2;15.876
Standard Class;Home Office;United States;Westfield;New Jersey;7090;East;Office Supplies;Storage;46.26;3;0;120.276
Standard Class;Corporate;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Binders;2.946;2;0.7;-22.586
Standard Class;Corporate;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Paper;16.056;3;0.2;58.203
Standard Class;Consumer;United States;Akron;Ohio;44312;East;Office Supplies;Paper;21.744;3;0.2;6.795
First Class;Consumer;United States;Denver;Colorado;80219;West;Furniture;Tables;218.75;2;0.5;-161.875
First Class;Consumer;United States;Denver;Colorado;80219;West;Office Supplies;Appliances;2.6;1;0.2;0.2925
Second Class;Consumer;United States;Dallas;Texas;75220;Central;Office Supplies;Appliances;66.284;2;0.8;-1.789.668
Standard Class;Corporate;United States;Franklin;Tennessee;37064;South;Furniture;Furnishings;35.168;7;0.2;96.712
Standard Class;Consumer;United States;Whittier;California;90604;West;Technology;Phones;444.768;4;0.2;444.768
Standard Class;Consumer;United States;Saginaw;Michigan;48601;Central;Office Supplies;Storage;83.92;4;0;58.744
Standard Class;Consumer;United States;Saginaw;Michigan;48601;Central;Technology;Phones;131.98;2;0;356.346
Standard Class;Consumer;United States;Saginaw;Michigan;48601;Central;Office Supplies;Binders;15.92;4;0;74.824
Standard Class;Consumer;United States;Saginaw;Michigan;48601;Central;Office Supplies;Fasteners;52.29;9;0;162.099
Standard Class;Consumer;United States;Saginaw;Michigan;48601;Central;Office Supplies;Storage;91.99;1;0;36.796
Second Class;Corporate;United States;Dallas;Texas;75220;Central;Technology;Accessories;20.8;2;0.2;6.5
Standard Class;Corporate;United States;Medina;Ohio;44256;East;Office Supplies;Labels;23.68;2;0.2;8.88
Standard Class;Corporate;United States;Medina;Ohio;44256;East;Furniture;Bookcases;452.45;5;0.5;-244.323
Standard Class;Corporate;United States;Medina;Ohio;44256;East;Technology;Phones;62.982;3;0.4;-146.958
Standard Class;Corporate;United States;Medina;Ohio;44256;East;Technology;Machines;1188;9;0.7;-950.4
Standard Class;Corporate;United States;Medina;Ohio;44256;East;Technology;Accessories;89.584;2;0.2;44.792
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Storage;93.06;6;0;260.568
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Technology;Phones;302.376;3;0.2;226.782
First Class;Consumer;United States;Dublin;Ohio;43017;East;Office Supplies;Fasteners;5.584;2;0.2;18.148
First Class;Consumer;United States;Dublin;Ohio;43017;East;Office Supplies;Paper;22.704;6;0.2;82.302
First Class;Consumer;United States;Dublin;Ohio;43017;East;Office Supplies;Binders;19.776;4;0.7;-138.432
First Class;Consumer;United States;Dublin;Ohio;43017;East;Furniture;Furnishings;72.704;4;0.2;190.848
First Class;Consumer;United States;Dublin;Ohio;43017;East;Technology;Machines;479.988;4;0.7;-3.839.904
First Class;Consumer;United States;Dublin;Ohio;43017;East;Office Supplies;Art;27.168;2;0.2;27.168
Standard Class;Corporate;United States;Detroit;Michigan;48227;Central;Office Supplies;Art;2.2;1;0;0.968
Standard Class;Corporate;United States;Detroit;Michigan;48227;Central;Furniture;Tables;622.45;5;0;136.939
Standard Class;Corporate;United States;Detroit;Michigan;48227;Central;Office Supplies;Storage;21.98;1;0;0.2198
Standard Class;Consumer;United States;Columbia;Tennessee;38401;South;Furniture;Chairs;161.568;2;0.2;-282.744
Standard Class;Consumer;United States;Columbia;Tennessee;38401;South;Furniture;Chairs;389.696;8;0.2;438.408
Standard Class;Corporate;United States;Charlotte;North Carolina;28205;South;Office Supplies;Binders;18.648;7;0.7;-12.432
Standard Class;Home Office;United States;Tampa;Florida;33614;South;Furniture;Tables;233.86;2;0.45;-102.048
Standard Class;Home Office;United States;Tampa;Florida;33614;South;Furniture;Tables;6.206.145;3;0.45;-2.482.458
Standard Class;Home Office;United States;Tampa;Florida;33614;South;Office Supplies;Binders;5.328;2;0.7;-3.552
Standard Class;Home Office;United States;Tampa;Florida;33614;South;Furniture;Furnishings;258.072;3;0.2;0
Standard Class;Home Office;United States;Tampa;Florida;33614;South;Technology;Accessories;617.976;3;0.2;-77.247
Standard Class;Corporate;United States;Santa Clara;California;95051;West;Office Supplies;Paper;10.56;2;0;4.752
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Office Supplies;Paper;25.92;5;0.2;9.396
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Furniture;Furnishings;419.68;5;0.6;-356.728
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Furniture;Furnishings;11.688;3;0.6;-46.752
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Technology;Phones;31.984;2;0.2;111.944
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Furniture;Tables;177.225;5;0.5;-120.513
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Furniture;Furnishings;4.044;3;0.6;-28.308
Second Class;Consumer;United States;Chicago;Illinois;60610;Central;Office Supplies;Art;7.408;2;0.2;12.038
Second Class;Home Office;United States;Lakeville;Minnesota;55044;Central;Furniture;Chairs;2001.86;7;0;5.805.394
Second Class;Home Office;United States;Lakeville;Minnesota;55044;Central;Office Supplies;Storage;166.72;2;0;41.68
Second Class;Home Office;United States;Lakeville;Minnesota;55044;Central;Office Supplies;Paper;47.88;6;0;23.94
Second Class;Home Office;United States;Lakeville;Minnesota;55044;Central;Office Supplies;Appliances;1503.25;5;0;4.960.725
Second Class;Home Office;United States;Lakeville;Minnesota;55044;Central;Office Supplies;Paper;25.92;4;0;124.416
Second Class;Consumer;United States;San Francisco;California;94109;West;Furniture;Chairs;321.568;2;0.2;281.372
Standard Class;Consumer;United States;San Diego;California;92037;West;Office Supplies;Paper;7.61;1;0;35.767
Standard Class;Consumer;United States;San Diego;California;92037;West;Technology;Accessories;3347.37;13;0;6.360.003
First Class;Consumer;United States;New York City;New York;10024;East;Office Supplies;Storage;80.58;6;0;225.624
First Class;Consumer;United States;New York City;New York;10024;East;Office Supplies;Envelopes;361.92;4;0;162.864
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Furniture;Furnishings;12.132;9;0.6;-84.924
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Office Supplies;Storage;82.368;2;0.2;-195.624
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Office Supplies;Storage;53.92;5;0.2;4.044
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Technology;Phones;647.904;6;0.2;566.916
Second Class;Consumer;United States;New York City;New York;10009;East;Technology;Accessories;20.37;3;0;69.258
Second Class;Consumer;United States;New York City;New York;10009;East;Office Supplies;Storage;221.55;3;0;66.465
Second Class;Consumer;United States;New York City;New York;10009;East;Office Supplies;Binders;17.52;5;0.2;6.132
Standard Class;Corporate;United States;Pasadena;Texas;77506;Central;Office Supplies;Appliances;1.624;2;0.8;-4.466
Second Class;Corporate;United States;Houston;Texas;77036;Central;Technology;Machines;3.059.982;3;0.4;-509.997
Second Class;Corporate;United States;Houston;Texas;77036;Central;Technology;Machines;2.519.958;7;0.4;-2.519.958
